"airport","airportName","chart","status","codedId","faaExcluded","entries","incompleteEntries","unofferedTransitions","entryWarnings","plateUrl"
"40G","VALLE","RNAV (GPS) RWY 01","matched","40G:R01","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/09240R1.PDF"
"40G","VALLE","RNAV (GPS) RWY 19","matched","40G:R19","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/09240R19.PDF"
"KAVQ","MARANA RGNL","RNAV (GPS) RWY 03","matched","KAVQ:R03","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/10213R3.PDF"
"KAVQ","MARANA RGNL","RNAV (GPS) RWY 12","matched","KAVQ:R12","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/10213R12.PDF"
"KAVQ","MARANA RGNL","RNAV (GPS) RWY 21","matched","KAVQ:R21","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/10213R21.PDF"
"KAVQ","MARANA RGNL","RNAV (GPS)-E","matched","KAVQ:RNV-E","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/10213RE.PDF"
"KAZC","COLORADO CITY MUNI","RNAV (GPS) RWY 11","matched","KAZC:R11","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/09194R11.PDF"
"KAZC","COLORADO CITY MUNI","RNAV (GPS) RWY 29","matched","KAZC:R29","false","7","0","","","https://aeronav.faa.gov/d-tpp/2609/09194R29.PDF"
"KBXK","BUCKEYE MUNI","RNAV (GPS) RWY 17","matched","KBXK:R17","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/09110R17.PDF"
"KBXK","BUCKEYE MUNI","RNAV (GPS) RWY 35","matched","KBXK:R35","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/09110R35.PDF"
"KCFT","GREENLEE COUNTY","RNAV (GPS)-A","matched","KCFT:RNV-A","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/09871RA.PDF"
"KCGZ","CASA GRANDE MUNI","ILS OR LOC RWY 05","matched","KCGZ:I05","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/06656IL5.PDF"
"KCGZ","CASA GRANDE MUNI","RNAV (GPS) RWY 05","matched","KCGZ:R05","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/06656R5.PDF"
"KCGZ","CASA GRANDE MUNI","RNAV (GPS) RWY 23","matched","KCGZ:R23","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/06656R23.PDF"
"KCGZ","CASA GRANDE MUNI","VOR RWY 05","matched","KCGZ:S05","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/06656V5.PDF"
"KCHD","CHANDLER MUNI","RNAV (GPS) RWY 04R","matched","KCHD:R04R","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/06494R4R.PDF"
"KCHD","CHANDLER MUNI","VOR RWY 04R","matched","KCHD:S04R","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/06494V4R.PDF"
"KCMR","H A CLARK MEML FLD","RNAV (GPS) RWY 18","matched","KCMR:R18","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/10608R18.PDF"
"KDMA","DAVIS-MONTHAN AFB","HI-ILS Z OR LOC Z RWY 13","unmatched-title","","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00429HIZLZ13.PDF"
"KDMA","DAVIS-MONTHAN AFB","HI-ILS Z OR LOC Z RWY 31","unmatched-title","","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00429HIZLZ31.PDF"
"KDMA","DAVIS-MONTHAN AFB","ILS Y OR LOC Y RWY 13","no-exact-coded-match","KDMA:I13-Y","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00429IYLY13.PDF"
"KDMA","DAVIS-MONTHAN AFB","ILS Y OR LOC Y RWY 31","no-exact-coded-match","KDMA:I31-Y","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00429IYLY31.PDF"
"KDMA","DAVIS-MONTHAN AFB","RNAV (GPS) RWY 13","no-exact-coded-match","KDMA:R13","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00429R13.PDF"
"KDMA","DAVIS-MONTHAN AFB","RNAV (GPS) RWY 31","no-exact-coded-match","KDMA:R31","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00429R31.PDF"
"KDMA","DAVIS-MONTHAN AFB","HI-TACAN Z RWY 13","unmatched-title","","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00429HTZ13.PDF"
"KDMA","DAVIS-MONTHAN AFB","HI-TACAN Z RWY 31","unmatched-title","","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00429HTZ31.PDF"
"KDMA","DAVIS-MONTHAN AFB","TACAN Y RWY 13","unmatched-title","","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00429TY13.PDF"
"KDMA","DAVIS-MONTHAN AFB","TACAN Y RWY 31","unmatched-title","","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00429TY31.PDF"
"KDUG","BISBEE DOUGLAS INTL","RNAV (GPS) RWY 17","matched","KDUG:R17","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/00486R17.PDF"
"KDUG","BISBEE DOUGLAS INTL","VOR/DME RWY 17","matched","KDUG:D17","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/00486VD17.PDF"
"KDUG","BISBEE DOUGLAS INTL","VOR RWY 17","no-exact-coded-match","KDUG:S17","true","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00486V17.PDF"
"KDVT","PHOENIX DEER VALLEY","RNAV (GPS) RWY 07R","matched","KDVT:R07R","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/06646R7R.PDF"
"KDVT","PHOENIX DEER VALLEY","RNAV (GPS) RWY 25L","matched","KDVT:R25L","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/06646R25L.PDF"
"KDVT","PHOENIX DEER VALLEY","RNAV (GPS)-B","matched","KDVT:RNV-B","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/06646RB.PDF"
"KFFZ","FALCON FLD","RNAV (GPS) RWY 04L","matched","KFFZ:R04L","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/06647R4L.PDF"
"KFFZ","FALCON FLD","RNAV (GPS) RWY 04R","matched","KFFZ:R04R","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/06647R4R.PDF"
"KFFZ","FALCON FLD","RNAV (GPS)-B","matched","KFFZ:RNV-B","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/06647RB.PDF"
"KFHU","SIERRA VISTA MUNI-LIBBY AAF","ILS OR LOC RWY 26","matched","KFHU:I26","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/05081IL26.PDF"
"KFHU","SIERRA VISTA MUNI-LIBBY AAF","RNAV (GPS) RWY 08","matched","KFHU:R08","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/05081R8.PDF"
"KFHU","SIERRA VISTA MUNI-LIBBY AAF","RNAV (GPS) RWY 26","matched","KFHU:R26","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/05081R26.PDF"
"KFHU","SIERRA VISTA MUNI-LIBBY AAF","VOR RWY 26","matched","KFHU:S26","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/05081V26.PDF"
"KFHU","SIERRA VISTA MUNI-LIBBY AAF","TACAN RWY 08","unmatched-title","","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/05081T8.PDF"
"KFHU","SIERRA VISTA MUNI-LIBBY AAF","TACAN RWY 26","unmatched-title","","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/05081T26.PDF"
"KFLG","FLAGSTAFF PULLIAM","ILS OR LOC RWY 21","matched","KFLG:I21","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/05034IL21.PDF"
"KFLG","FLAGSTAFF PULLIAM","RNAV (GPS) RWY 03","matched","KFLG:R03","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/05034R3.PDF"
"KFLG","FLAGSTAFF PULLIAM","RNAV (GPS) RWY 21","matched","KFLG:R21","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/05034R21.PDF"
"KGCN","GRAND CANYON NTL PARK","ILS OR LOC RWY 03","matched","KGCN:I03","false","6","0","","","https://aeronav.faa.gov/d-tpp/2609/05381IL3.PDF"
"KGCN","GRAND CANYON NTL PARK","RNAV (GPS) RWY 03","matched","KGCN:R03","false","6","0","","","https://aeronav.faa.gov/d-tpp/2609/05381R3.PDF"
"KGCN","GRAND CANYON NTL PARK","VOR RWY 03","no-exact-coded-match","KGCN:S03","true","0","0","","","https://aeronav.faa.gov/d-tpp/2609/05381V3.PDF"
"KGEU","GLENDALE RGNL","RNAV (GPS) RWY 01","matched","KGEU:R01","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/06915R1.PDF"
"KGEU","GLENDALE RGNL","RNAV (GPS) RWY 19","matched","KGEU:R19","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/06915R19.PDF"
"KGYR","PHOENIX GOODYEAR","RNAV (GPS) RWY 03","matched","KGYR:R03","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/06648R3.PDF"
"KHII","LAKE HAVASU CITY","RNAV (GPS) RWY 14","matched","KHII:R14","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/09099R14.PDF"
"KHII","LAKE HAVASU CITY","RNAV (GPS) RWY 32","matched","KHII:R32","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/09099R32.PDF"
"KHII","LAKE HAVASU CITY","VOR-A","matched","KHII:VOR-A","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/09099VA.PDF"
"KIFP","LAUGHLIN/BULLHEAD INTL","RNAV (GPS) RWY 16","matched","KIFP:R16","false","6","0","","","https://aeronav.faa.gov/d-tpp/2609/06967R16.PDF"
"KIFP","LAUGHLIN/BULLHEAD INTL","RNAV (GPS) RWY 34","matched","KIFP:R34","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/06967R34.PDF"
"KIFP","LAUGHLIN/BULLHEAD INTL","VOR RWY 34","matched","KIFP:S34","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/06967V34.PDF"
"KIGM","KINGMAN","RNAV (GPS) RWY 03","matched","KIGM:R03","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/00215R3.PDF"
"KIGM","KINGMAN","RNAV (GPS) Y RWY 21","matched","KIGM:R21-Y","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/00215RY21.PDF"
"KIGM","KINGMAN","RNAV (GPS) Z RWY 21","matched","KIGM:R21-Z","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/00215RZ21.PDF"
"KIGM","KINGMAN","VOR/DME RWY 21","matched","KIGM:D21","false","6","0","","","https://aeronav.faa.gov/d-tpp/2609/00215VD21.PDF"
"KINW","WINSLOW-LINDBERGH RGNL","VOR OR GPS RWY 11","no-exact-coded-match","KINW:S11","true","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00462VG11.PDF"
"KIWA","MESA GATEWAY","ILS OR LOC RWY 30C","matched","KIWA:I30C","false","7","0","","","https://aeronav.faa.gov/d-tpp/2609/00074IL30C.PDF"
"KIWA","MESA GATEWAY","RNAV (RNP) Z RWY 30C","matched","KIWA:H30CZ","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/00074RRZ30C.PDF"
"KIWA","MESA GATEWAY","RNAV (GPS) RWY 12C","matched","KIWA:R12C","false","6","0","","","https://aeronav.faa.gov/d-tpp/2609/00074R12C.PDF"
"KIWA","MESA GATEWAY","RNAV (GPS) RWY 12R","matched","KIWA:R12R","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/00074R12R.PDF"
"KIWA","MESA GATEWAY","RNAV (GPS) RWY 30L","matched","KIWA:R30L","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/00074R30L.PDF"
"KIWA","MESA GATEWAY","RNAV (GPS) RWY 30R","matched","KIWA:R30R","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/00074R30R.PDF"
"KIWA","MESA GATEWAY","RNAV (GPS) Y RWY 30C","matched","KIWA:R30CY","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/00074RY30C.PDF"
"KIWA","MESA GATEWAY","VOR OR TACAN RWY 30C","no-exact-coded-match","KIWA:S30C","true","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00074VT30C.PDF"
"KJTC","SPRINGERVILLE MUNI","RNAV (GPS) RWY 21","matched","KJTC:R21","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/06631R21.PDF"
"KLGF","LAGUNA AAF (YUMA PROVING GROUND)","RNAV (GPS) RWY 06","no-exact-coded-match","KLGF:R06","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/06341R6.PDF"
"KLGF","LAGUNA AAF (YUMA PROVING GROUND)","RNAV (GPS) RWY 18","no-exact-coded-match","KLGF:R18","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/06341R18.PDF"
"KLGF","LAGUNA AAF (YUMA PROVING GROUND)","VOR RWY 06","no-exact-coded-match","KLGF:S06","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/06341V6.PDF"
"KLUF","LUKE AFB","HI-ILS OR LOC/DME RWY 03R","unmatched-title","","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00321HILD3R.PDF"
"KLUF","LUKE AFB","HI-ILS OR LOC/DME RWY 21L","unmatched-title","","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00321HILD21L.PDF"
"KLUF","LUKE AFB","HI-TACAN RWY 03L","unmatched-title","","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00321HT3L.PDF"
"KLUF","LUKE AFB","HI-TACAN RWY 03R","unmatched-title","","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00321HT3R.PDF"
"KLUF","LUKE AFB","HI-TACAN RWY 21L","unmatched-title","","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00321HT21L.PDF"
"KLUF","LUKE AFB","HI-TACAN RWY 21R","unmatched-title","","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00321HT21R.PDF"
"KNYL","YUMA MCAS/YUMA INTL","ILS OR LOC RWY 21R","no-exact-coded-match","KNYL:I21R","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00511IL21R.PDF"
"KNYL","YUMA MCAS/YUMA INTL","RNAV (GPS) RWY 03L","no-exact-coded-match","KNYL:R03L","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00511R3L.PDF"
"KNYL","YUMA MCAS/YUMA INTL","RNAV (GPS) RWY 21R","no-exact-coded-match","KNYL:R21R","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00511R21R.PDF"
"KNYL","YUMA MCAS/YUMA INTL","HI-TACAN Z RWY 03L","unmatched-title","","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00511HTZ3L.PDF"
"KNYL","YUMA MCAS/YUMA INTL","HI-TACAN Z RWY 21R","unmatched-title","","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00511HTZ21R.PDF"
"KNYL","YUMA MCAS/YUMA INTL","TACAN Y RWY 03L","unmatched-title","","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00511TY3L.PDF"
"KNYL","YUMA MCAS/YUMA INTL","TACAN Y RWY 21R","unmatched-title","","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00511TY21R.PDF"
"KOLS","NOGALES INTL","RNAV (GPS)-A","matched","KOLS:RNV-A","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/06151RA.PDF"
"KOLS","NOGALES INTL","VOR-B","matched","KOLS:VOR-B","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/06151VB.PDF"
"KPAN","PAYSON","RNAV (GPS) RWY 24","matched","KPAN:R24","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/06968R24.PDF"
"KPAN","PAYSON","RNAV (GPS)-A","matched","KPAN:RNV-A","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/06968RA.PDF"
"KPGA","PAGE MUNI","RNAV (GPS) RWY 15","matched","KPGA:R15","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/05108R15.PDF"
