"airport","airportName","chart","status","codedId","faaExcluded","entries","incompleteEntries","unofferedTransitions","entryWarnings","plateUrl"
"1O2","LAMPSON FLD","RNAV (GPS)-A","matched","1O2:RNV-A","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/06939RA.PDF"
"1O3","LODI","RNAV (GPS)-B","matched","1O3:RNV-B","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/06044RB.PDF"
"C80","NEW COALINGA MUNI","RNAV (GPS) RWY 30","matched","C80:R30","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/09514R30.PDF"
"C83","BYRON","RNAV (GPS) RWY 30","matched","C83:R30","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/09141R30.PDF"
"E16","SAN MARTIN","RNAV (GPS) RWY 32","matched","E16:R32","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/09260R32.PDF"
"E45","GROVELAND/YOSEMITE","RNAV (GPS) RWY 09","matched","E45:R09","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/09084R9.PDF"
"E45","GROVELAND/YOSEMITE","GPS RWY 27","matched","E45:P27","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/09084G27.PDF"
"F34","FIREBAUGH","RNAV (GPS)-B","matched","F34:RNV-B","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/06268RB.PDF"
"F70","FRENCH VALLEY","RNAV (GPS) RWY 18","matched","F70:R18","false","7","0","","","https://aeronav.faa.gov/d-tpp/2609/06941R18.PDF"
"KAAT","ALTURAS MUNI","RNAV (GPS) RWY 31","matched","KAAT:R31","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/06436R31.PDF"
"KACV","CALIFORNIA REDWOOD COAST-HUMBOLDT COUNTY","ILS OR LOC RWY 32","matched","KACV:I32","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/00519IL32.PDF"
"KACV","CALIFORNIA REDWOOD COAST-HUMBOLDT COUNTY","RNAV (GPS) RWY 01","matched","KACV:R01","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/00519R1.PDF"
"KACV","CALIFORNIA REDWOOD COAST-HUMBOLDT COUNTY","RNAV (GPS) RWY 14","matched","KACV:R14","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/00519R14.PDF"
"KACV","CALIFORNIA REDWOOD COAST-HUMBOLDT COUNTY","RNAV (GPS) RWY 32","matched","KACV:R32","false","6","0","","","https://aeronav.faa.gov/d-tpp/2609/00519R32.PDF"
"KAHC","AMEDEE AAF","RNAV (GPS) RWY 27","no-exact-coded-match","KAHC:R27","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/06624R27.PDF"
"KAJO","CORONA MUNI","RNAV (GPS)-B","matched","KAJO:RNV-B","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/05987RB.PDF"
"KAJO","CORONA MUNI","VOR-A","matched","KAJO:VOR-A","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/05987VA.PDF"
"KAPC","NAPA COUNTY","ILS Z OR LOC Z RWY 01L","matched","KAPC:I01LZ","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/00281IZLZ1L.PDF"
"KAPC","NAPA COUNTY","RNAV (GPS) RWY 06","matched","KAPC:R06","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/00281R6.PDF"
"KAPC","NAPA COUNTY","RNAV (GPS) RWY 19R","matched","KAPC:R19R","false","8","0","","","https://aeronav.faa.gov/d-tpp/2609/00281R19R.PDF"
"KAPC","NAPA COUNTY","RNAV (GPS) Y RWY 01L","matched","KAPC:R01LY","false","6","0","","","https://aeronav.faa.gov/d-tpp/2609/00281RY1L.PDF"
"KAPC","NAPA COUNTY","RNAV (GPS) Z RWY 01L","matched","KAPC:R01LZ","false","6","0","","","https://aeronav.faa.gov/d-tpp/2609/00281RZ1L.PDF"
"KAPC","NAPA COUNTY","VOR RWY 06","matched","KAPC:S06","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/00281V6.PDF"
"KAPV","APPLE VALLEY","RNAV (GPS) RWY 18","matched","KAPV:R18","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/05822R18.PDF"
"KAUN","AUBURN MUNI","RNAV (GPS) RWY 07","matched","KAUN:R07","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/09143R7.PDF"
"KAVX","CATALINA","VOR/DME OR GPS-B","matched","KAVX:VDM-B","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/06368VDGB.PDF"
"KAVX","CATALINA","VOR OR GPS-A","matched","KAVX:VOR-A","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/06368VGA.PDF"
"KBAB","BEALE AFB","HI-ILS OR LOC Z RWY 15","unmatched-title","","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00771HILZ15.PDF"
"KBAB","BEALE AFB","HI-ILS OR LOC Z RWY 33","unmatched-title","","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00771HILZ33.PDF"
"KBAB","BEALE AFB","ILS OR LOC Y RWY 15","no-exact-coded-match","KBAB:I15-Y","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00771ILY15.PDF"
"KBAB","BEALE AFB","ILS OR LOC Y RWY 33","no-exact-coded-match","KBAB:I33-Y","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00771ILY33.PDF"
"KBAB","BEALE AFB","RNAV (GPS) RWY 15","no-exact-coded-match","KBAB:R15","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00771R15.PDF"
"KBAB","BEALE AFB","RNAV (GPS) RWY 33","no-exact-coded-match","KBAB:R33","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00771R33.PDF"
"KBAB","BEALE AFB","HI-TACAN Z RWY 15","unmatched-title","","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00771HTZ15.PDF"
"KBAB","BEALE AFB","HI-TACAN Z RWY 33","unmatched-title","","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00771HTZ33.PDF"
"KBAB","BEALE AFB","TACAN Y RWY 15","unmatched-title","","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00771TY15.PDF"
"KBAB","BEALE AFB","TACAN Y RWY 33","unmatched-title","","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00771TY33.PDF"
"KBFL","MEADOWS FLD","ILS OR LOC RWY 30R","matched","KBFL:I30R","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/00036IL30R.PDF"
"KBFL","MEADOWS FLD","RNAV (GPS) RWY 12L","matched","KBFL:R12L","false","6","0","","","https://aeronav.faa.gov/d-tpp/2609/00036R12L.PDF"
"KBFL","MEADOWS FLD","RNAV (GPS) RWY 12R","matched","KBFL:R12R","false","6","0","","","https://aeronav.faa.gov/d-tpp/2609/00036R12R.PDF"
"KBFL","MEADOWS FLD","RNAV (GPS) RWY 30L","matched","KBFL:R30L","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/00036R30L.PDF"
"KBFL","MEADOWS FLD","RNAV (GPS) RWY 30R","matched","KBFL:R30R","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/00036R30R.PDF"
"KBFL","MEADOWS FLD","VOR-A","no-exact-coded-match","KBFL:VOR-A","true","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00036VA.PDF"
"KBIH","BISHOP","RNAV (RNP) RWY 30","matched","KBIH:H30","false","1","0","","","https://aeronav.faa.gov/d-tpp/2609/05737RR30.PDF"
"KBIH","BISHOP","RNAV (GPS) Y RWY 12","matched","KBIH:R12-Y","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/05737RY12.PDF"
"KBIH","BISHOP","RNAV (GPS) Z RWY 12","matched","KBIH:R12-Z","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/05737RZ12.PDF"
"KBIH","BISHOP","LDA RWY 17","matched","KBIH:X17","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/05737LDA17.PDF"
"KBLH","BLYTHE","RNAV (GPS) RWY 26","matched","KBLH:R26","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/00053R26.PDF"
"KBLH","BLYTHE","VOR/DME-A","matched","KBLH:VDM-A","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/00053VDA.PDF"
"KBUR","HOLLYWOOD BURBANK","ILS Y OR LOC Y RWY 08","matched","KBUR:I08-Y","false","8","0","","","https://aeronav.faa.gov/d-tpp/2609/00067IYLY8.PDF"
"KBUR","HOLLYWOOD BURBANK","ILS Z OR LOC Z RWY 08","matched","KBUR:I08-Z","false","8","0","","","https://aeronav.faa.gov/d-tpp/2609/00067IZLZ8.PDF"
"KBUR","HOLLYWOOD BURBANK","RNAV (RNP) Y RWY 08","matched","KBUR:H08-Y","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/00067RRY8.PDF"
"KBUR","HOLLYWOOD BURBANK","RNAV (GPS) Z RWY 08","matched","KBUR:R08-Z","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/00067RZ8.PDF"
"KBUR","HOLLYWOOD BURBANK","VOR RWY 08","matched","KBUR:S08","false","8","0","","","https://aeronav.faa.gov/d-tpp/2609/00067V8.PDF"
"KBUR","HOLLYWOOD BURBANK","FOUR STACKS VISUAL RWY 15","visual-chart","","false","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00067FOURSTACKS_VIS15.PDF"
"KBWC","BRAWLEY MUNI","RNAV (GPS) RWY 26","matched","KBWC:R26","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/06932R26.PDF"
"KBWC","BRAWLEY MUNI","VOR-B","matched","KBWC:VOR-B","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/06932VB.PDF"
"KCCB","CABLE","RNAV (GPS) RWY 06","matched","KCCB:R06","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/05203R6.PDF"
"KCCB","CABLE","VOR-A","no-exact-coded-match","KCCB:VOR-A","true","0","0","","","https://aeronav.faa.gov/d-tpp/2609/05203VA.PDF"
"KCCR","BUCHANAN FLD","RNAV (GPS) RWY 19R","matched","KCCR:R19R","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/05320R19R.PDF"
"KCCR","BUCHANAN FLD","LDA RWY 19R","matched","KCCR:X19R","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/05320LDA19R.PDF"
"KCCR","BUCHANAN FLD","VOR RWY 19R","matched","KCCR:S19R","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/05320V19R.PDF"
"KCEC","JACK MC NAMARA FLD","ILS OR LOC RWY 12","matched","KCEC:I12","false","6","0","","","https://aeronav.faa.gov/d-tpp/2609/00034IL12.PDF"
"KCEC","JACK MC NAMARA FLD","RNAV (GPS) RWY 12","matched","KCEC:R12","false","7","0","","","https://aeronav.faa.gov/d-tpp/2609/00034R12.PDF"
"KCEC","JACK MC NAMARA FLD","RNAV (GPS) RWY 36","matched","KCEC:R36","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/00034R36.PDF"
"KCEC","JACK MC NAMARA FLD","VOR/DME RWY 12","matched","KCEC:D12","false","6","0","","","https://aeronav.faa.gov/d-tpp/2609/00034VD12.PDF"
"KCEC","JACK MC NAMARA FLD","VOR/DME RWY 36","matched","KCEC:D36","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/00034VD36.PDF"
"KCEC","JACK MC NAMARA FLD","VOR RWY 12","no-exact-coded-match","KCEC:S12","true","0","0","","","https://aeronav.faa.gov/d-tpp/2609/00034V12.PDF"
"KCIC","CHICO RGNL","ILS OR LOC RWY 13L","matched","KCIC:I13L","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/00557IL13L.PDF"
"KCIC","CHICO RGNL","RNAV (GPS) RWY 13L","matched","KCIC:R13L","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/00557R13L.PDF"
"KCIC","CHICO RGNL","RNAV (GPS) RWY 31R","matched","KCIC:R31R","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/00557R31R.PDF"
"KCLR","CLIFF HATFIELD MEML","RNAV (GPS) RWY 08","matched","KCLR:R08","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/09486R8.PDF"
"KCMA","CAMARILLO","RNAV (GPS) RWY 08","matched","KCMA:R08","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/00680R8.PDF"
"KCMA","CAMARILLO","RNAV (GPS) Y RWY 26","matched","KCMA:R26-Y","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/00680RY26.PDF"
"KCMA","CAMARILLO","RNAV (GPS) Z RWY 26","matched","KCMA:R26-Z","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/00680RZ26.PDF"
"KCMA","CAMARILLO","VOR RWY 26","matched","KCMA:S26","false","6","0","","","https://aeronav.faa.gov/d-tpp/2609/00680V26.PDF"
"KCNO","CHINO","ILS OR LOC RWY 26R","matched","KCNO:I26R","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/05599IL26R.PDF"
"KCNO","CHINO","RNAV (GPS) RWY 26R","matched","KCNO:R26R","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/05599R26R.PDF"
"KCPU","CALAVERAS COUNTY/MAURY RASMUSSEN FLD","RNAV (GPS) RWY 31","matched","KCPU:R31","false","6","0","","","https://aeronav.faa.gov/d-tpp/2609/06708R31.PDF"
"KCRQ","MC CLELLAN-PALOMAR","ILS OR LOC RWY 24","matched","KCRQ:I24","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/05310IL24.PDF"
"KCRQ","MC CLELLAN-PALOMAR","RNAV (RNP) Z RWY 06","matched","KCRQ:H06-Z","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/05310RRZ6.PDF"
"KCRQ","MC CLELLAN-PALOMAR","RNAV (RNP) Z RWY 24","matched","KCRQ:H24-Z","false","6","0","","","https://aeronav.faa.gov/d-tpp/2609/05310RRZ24.PDF"
